순번,시리얼번호,사이트명,자치구,주소,구분,높이,위도,경도
1,OC3CL200010,4024,서울대공원,경기도 과천시 대공원광장로 102,유동인구,3.5,37.42877164,127.0160739
2,OC3CL200011,4025,서울대공원,경기도 과천시 대공원광장로 102,유동인구,4,37.42201307,127.0242658
3,OC3CL200012,4019,광진구,서울특별시 광진구 화양동 34-75,유동인구,4,37.54400194,127.0697313
4,OC3CL200013,4040,종로구,서울특별시 종로구 삼청동 35-63,유동인구,3,37.58346942,126.9826224
5,OC3CL200014,4043,중구,서울특별시 중구 명동1가 53-1,유동인구,3.3,37.56357368,126.9845038
6,OC3CL200015,4005,강남구,서울특별시 강남구 신사동 532-12,유동인구,3.4,37.52338411,127.0224148
7,OC3CL200016,4007,강남구,서울특별시 강남구 신사동 657-37,유동인구,3.8,37.52588867,127.0391258
8,OC3CL200017,4008,강동구,서울특별시 강동구 성내동 448-8,유동인구,4.5,37.52411075,127.1286688
9,OC3CL200018,4032,성동구,서울특별시 성동구 성수동1가 685-285,유동인구,3.6,37.54688198,127.0416428
10,OC3CL200019,4035,용산구,서울특별시  용산구 이태원동 239-4,유동인구,3.2,37.54026442,126.9937934
11,OC3CL200020,4001,강남구,서울특별시 강남구 역삼동 814-6,유동인구,3.3,37.50127401,127.0263768
12,OC3CL200021,4002,강남구,서울특별시 강남구 신사동 581-6,유동인구,4.5,37.52553243,127.0282295
13,OC3CL200022,4003,강남구,서울특별시 강남구 대치동 889-45,유동인구,3.7,37.50309199,127.0498755
14,OC3CL200023,4004,강남구,서울특별시 강남구 대치동 890-57,유동인구,3.7,37.50359652,127.0515922
15,OC3CL200024,4006,강남구,서울특별시 강남구 신사동 541-17,유동인구,3.4,37.51839242,127.0234226
16,OC3CL200025,4014,강서구,서울특별시 강서구 마곡동 727-709,유동인구,3.8,37.56003441,126.8258759
17,OC3CL200026,4015,강서구,서울특별시 강서구 마곡동 367-11,유동인구,3.9,37.56668094,126.8261217
18,OC3CL200027,4016,강서구,서울특별시 강서구 마곡동 727-1214,유동인구,3.9,37.55904218,126.8360833
19,OC3CL200028,4018,관악구,서울특별시 관악구 봉천동 1603-4,유동인구,3.3,37.47915422,126.9537097
20,OC3CL200029,4020,광진구,서울특별시 광진구 구의동 246-8,유동인구,4.5,37.53768025,127.0852125
21,OC3CL200030,4021,도봉구,서울특별시 도봉구 창동 57-11,유동인구,3.5,37.64583144,127.05039
